Sex,JS.W,JS.W_MAX,JS.W_MIN
Female,1.5006,2.7315,0.7284
Female,1.2894,2.9136,0.1214
Female,2.1239,2.8529,1.6996
Female,1.7162,2.7921,1.1533
Female,1.9218,2.6708,1.3961
Female,1.2232,2.3673,0.7284
Female,1.5899,2.9136,0.3642
Male,1.8603,2.7315,1.3354
Female,1.4159,2.428,1.0319
Female,1.299,2.1852,0.5463
Male,2.0065,2.9135,1.4568
Female,1.5088,2.5493,0.6677
Female,0.6037,1.4568,0.3642
Male,1.5526,2.6708,0.9105
Male,1.8527,2.7922,1.4568
Male,2.1021,2.6101,1.5175
Male,1.6862,2.6101,1.2747
Male,1.7082,2.7315,1.0319
Male,1.6336,2.7315,1.1533
Male,2.1307,2.8528,0.7891
Male,1.8871,2.7922,1.2747
Male,2.2274,2.8529,1.6996
Male,1.7801,2.7315,1.2747
Female,1.5242,2.6708,1.0926
Female,1.5631,2.61,0.7891
Male,2.0561,2.8528,1.4568
Female,1.7387,2.7922,1.1533
Female,1.6523,2.003,0.8497
Male,1.918,2.6707,1.214
Male,2.0707,2.9136,1.5782
Female,2.0567,2.7314,1.5175
Female,2.1712,2.9742,1.2747
Female,1.636,2.8528,0.6677
Male,1.9065,2.8528,1.0926
Female,1.6533,2.6708,1.1533
Female,1.822,2.7921,1.0926
Male,1.7591,2.6101,1.3961
Male,1.7824,2.5494,1.4568
Male,1.2489,2.3066,0.4856